Date,Close
2020-01-02 00:00:00-05:00,72.4005355834961
2020-01-03 00:00:00-05:00,71.69662475585938
2020-01-06 00:00:00-05:00,72.26795196533203
2020-01-07 00:00:00-05:00,71.9280776977539
2020-01-08 00:00:00-05:00,73.08511352539062
2020-01-09 00:00:00-05:00,74.63749694824219
2020-01-10 00:00:00-05:00,74.80624389648438
2020-01-13 00:00:00-05:00,76.40441131591797
2020-01-14 00:00:00-05:00,75.3727035522461
2020-01-15 00:00:00-05:00,75.04971313476562
2020-01-16 00:00:00-05:00,75.98981475830078
2020-01-17 00:00:00-05:00,76.83110046386719
2020-01-21 00:00:00-05:00,76.31043243408203
2020-01-22 00:00:00-05:00,76.5827865600586
2020-01-23 00:00:00-05:00,76.95160675048828
2020-01-24 00:00:00-05:00,76.72984313964844
2020-01-27 00:00:00-05:00,74.47357177734375
2020-01-28 00:00:00-05:00,76.58040618896484
2020-01-29 00:00:00-05:00,78.18340301513672
2020-01-30 00:00:00-05:00,78.0700912475586
2020-01-31 00:00:00-05:00,74.60857391357422
2020-02-03 00:00:00-05:00,74.4036865234375
2020-02-04 00:00:00-05:00,76.8600082397461
2020-02-05 00:00:00-05:00,77.48674774169922
2020-02-06 00:00:00-05:00,78.39310455322266
2020-02-07 00:00:00-05:00,77.32755279541016
2020-02-10 00:00:00-05:00,77.6948013305664
2020-02-11 00:00:00-05:00,77.22607421875
2020-02-12 00:00:00-05:00,79.05999755859375
2020-02-13 00:00:00-05:00,78.49701690673828
2020-02-14 00:00:00-05:00,78.51632690429688
2020-02-18 00:00:00-05:00,77.07865905761719
2020-02-19 00:00:00-05:00,78.1949691772461
2020-02-20 00:00:00-05:00,77.39277648925781
2020-02-21 00:00:00-05:00,75.64098358154297
2020-02-24 00:00:00-05:00,72.04800415039062
2020-02-25 00:00:00-05:00,69.60758972167969
2020-02-26 00:00:00-05:00,70.71183776855469
2020-02-27 00:00:00-05:00,66.08952331542969
2020-02-28 00:00:00-05:00,66.05085754394531
2020-03-02 00:00:00-05:00,72.20024871826172
2020-03-03 00:00:00-05:00,69.9072036743164
2020-03-04 00:00:00-05:00,73.14983367919922
2020-03-05 00:00:00-05:00,70.77706146240234
2020-03-06 00:00:00-05:00,69.8371353149414
2020-03-09 00:00:00-04:00,64.31355285644531
2020-03-10 00:00:00-04:00,68.94554138183594
2020-03-11 00:00:00-04:00,66.55101776123047
2020-03-12 00:00:00-04:00,59.978797912597656
2020-03-13 00:00:00-04:00,67.16474914550781
2020-03-16 00:00:00-04:00,58.52421569824219
2020-03-17 00:00:00-04:00,61.097530364990234
2020-03-18 00:00:00-04:00,59.60186004638672
2020-03-19 00:00:00-04:00,59.14518737792969
2020-03-20 00:00:00-04:00,55.39033126831055
2020-03-23 00:00:00-04:00,54.213600158691406
2020-03-24 00:00:00-04:00,59.65260696411133
2020-03-25 00:00:00-04:00,59.32400131225586
2020-03-26 00:00:00-04:00,62.44580841064453
2020-03-27 00:00:00-04:00,59.86040496826172
2020-03-30 00:00:00-04:00,61.568702697753906
2020-03-31 00:00:00-04:00,61.44305419921875
2020-04-01 00:00:00-04:00,58.210105895996094
2020-04-02 00:00:00-04:00,59.18142318725586
2020-04-03 00:00:00-04:00,58.33091735839844
2020-04-06 00:00:00-04:00,63.41953659057617
2020-04-07 00:00:00-04:00,62.685001373291016
2020-04-08 00:00:00-04:00,64.28941345214844
